date,state,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCurrently,negative,negativeIncrease,positive,positiveCasesViral,positiveIncrease,positiveScore,recovered,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2021-03-07,AK,305.0,0,1293.0,1293.0,33.0,0,,,0,56886.0,,0,0,,0,1731628.0,0,0,1731628.0,0
2021-03-07,AL,10148.0,-1,45976.0,45976.0,494.0,0,,1931711.0,2087,499819.0,392077.0,408,0,295690.0,0,2323788.0,2347,2347,,0
2021-03-07,AR,5319.0,22,14926.0,14926.0,335.0,11,141.0,2480716.0,3267,324818.0,255726.0,165,0,315517.0,0,2736442.0,3380,0,2736442.0,3380
2021-03-07,AS,0.0,0,,,,0,,2140.0,0,0.0,0.0,0,0,,0,2140.0,0,0,2140.0,0
2021-03-07,AZ,16328.0,5,57907.0,57907.0,963.0,44,273.0,3073010.0,13678,826454.0,769935.0,1335,0,,0,7908105.0,45110,14856,7908105.0,45110
2021-03-07,CA,54124.0,258,,,4291.0,0,1159.0,,0,3501394.0,3501394.0,3816,0,,0,49646014.0,133186,0,49646014.0,133186
2021-03-07,CO,5989.0,3,23904.0,23904.0,326.0,18,,2199458.0,0,436602.0,410976.0,840,0,,38163,6415123.0,38163,6107,,0
2021-03-07,CT,7704.0,0,,,428.0,0,,,0,285330.0,265709.0,0,0,,0,6520366.0,0,0,6520366.0,0
2021-03-07,DC,1030.0,0,,,150.0,0,38.0,,0,41419.0,,146,0,29570.0,5726,1261363.0,5726,1149,,0
2021-03-07,DE,1473.0,9,,,104.0,0,13.0,545070.0,917,88354.0,83621.0,215,0,,5867,1431942.0,5867,1132,,0
2021-03-07,FL,32266.0,66,82237.0,82237.0,3307.0,92,,9339038.0,19166,1909209.0,1548837.0,4024,0,,64599,22339182.0,64599,23190,19482607.0,52132
2021-03-07,GA,17906.0,1,56797.0,56797.0,2008.0,35,,,0,1023487.0,828336.0,1709,0,,0,7359069.0,18827,0,7359069.0,18827
2021-03-07,GU,133.0,0,,,2.0,0,1.0,112887.0,0,7749.0,7540.0,0,0,7590.0,0,120636.0,0,0,120426.0,0
2021-03-07,HI,445.0,1,2226.0,2226.0,27.0,0,5.0,,0,28699.0,27891.0,53,0,,5117,1146796.0,5117,0,,0
2021-03-07,IA,5558.0,6,,,167.0,0,35.0,1044418.0,1299,282384.0,282384.0,257,0,320054.0,0,1326802.0,1556,1555,2753899.0,4464
2021-03-07,ID,1879.0,3,7184.0,7184.0,150.0,5,33.0,505964.0,535,172931.0,139874.0,104,0,96017.0,0,645838.0,396,396,1103725.0,877
2021-03-07,IL,23014.0,12,,,1141.0,0,255.0,,0,1198335.0,,1068,0,,0,18640190.0,68094,0,18640190.0,68094
2021-03-07,IN,12737.0,11,43217.0,43217.0,656.0,64,104.0,2483156.0,4643,667262.0,,746,0,,0,8242367.0,29427,5389,8242367.0,29427
2021-03-07,KS,4812.0,0,9387.0,9387.0,235.0,0,50.0,974686.0,0,295861.0,,0,0,,0,1270547.0,0,0,2525259.0,0
2021-03-07,KY,4819.0,13,19457.0,19457.0,558.0,6,156.0,,0,410709.0,314385.0,525,0,48145.0,0,3975672.0,0,0,3975672.0,0
2021-03-07,LA,9748.0,32,,,532.0,0,,5261679.0,20578,433785.0,372514.0,740,0,415954.0,0,5695464.0,21318,0,5634193.0,21098
2021-03-07,MA,16417.0,43,19713.0,19713.0,665.0,0,174.0,4404792.0,8028,591356.0,559083.0,1425,0,508745.0,0,16825551.0,96578,9309,16825551.0,96578
2021-03-07,MD,7955.0,14,35651.0,35651.0,818.0,79,215.0,3034546.0,2050,387319.0,387319.0,709,0,9703.0,0,8097590.0,33128,2759,8097590.0,33128
2021-03-07,ME,706.0,2,1570.0,1570.0,67.0,4,16.0,,0,45794.0,35846.0,159,0,12840.0,0,1660180.0,7490,0,1660180.0,7490
2021-03-07,MI,16658.0,0,,,866.0,0,222.0,,0,656072.0,596054.0,0,0,549881.0,0,10621967.0,0,0,10621967.0,0
2021-03-07,MN,6550.0,4,25978.0,25978.0,224.0,2,57.0,3058514.0,8218,490011.0,465547.0,895,0,476055.0,25369,7111428.0,25369,8998,,0
2021-03-07,MO,8161.0,0,,,955.0,0,197.0,1878583.0,2950,480643.0,480643.0,291,0,,0,4565866.0,10659,3241,4565866.0,10659
2021-03-07,MP,2.0,0,4.0,4.0,,0,,17429.0,0,145.0,145.0,1,0,29.0,0,17574.0,1,0,26131.0,0
2021-03-07,MS,6808.0,3,9162.0,9162.0,419.0,0,89.0,1459374.0,0,297581.0,184278.0,260,0,278162.0,0,1756955.0,260,0,1642348.0,0
2021-03-07,MT,1381.0,0,4630.0,4630.0,63.0,1,12.0,,0,100914.0,95390.0,72,0,97943.0,0,1104488.0,3132,0,1104488.0,3132
2021-03-07,NC,11502.0,0,,,1179.0,0,309.0,,0,872176.0,759617.0,0,0,,0,9688838.0,0,0,9688838.0,0
2021-03-07,ND,1478.0,0,3880.0,3880.0,23.0,2,3.0,305912.0,-109,100391.0,94928.0,34,0,98326.0,679,1425146.0,679,-75,1536487.0,881
2021-03-07,NE,2113.0,0,6237.0,6237.0,137.0,8,,771128.0,542,203026.0,,373,0,157144.0,0,2421684.0,1,978,2421684.0,1
2021-03-07,NH,1184.0,3,1131.0,1131.0,68.0,4,,579582.0,396,76861.0,54064.0,166,0,73615.0,0,1497185.0,15697,521,1497185.0,15697
2021-03-07,NJ,23574.0,17,64396.0,64396.0,1792.0,58,376.0,10186941.0,0,812609.0,720939.0,2519,0,,0,10999550.0,2519,0,10902830.0,0
2021-03-07,NM,3808.0,12,13252.0,13252.0,169.0,10,,,0,186922.0,,180,0,156554.0,0,2783542.0,11702,0,2783542.0,11702
2021-03-07,NV,5037.0,1,,,399.0,0,87.0,1131758.0,1829,296190.0,296190.0,730,0,,6201,2770192.0,6201,2059,,0
2021-03-07,NY,39029.0,59,,,4789.0,0,999.0,,0,1681169.0,,6789,0,,227768,39695100.0,227768,0,,0
2021-03-07,OH,17656.0,0,50881.0,50881.0,820.0,33,260.0,,0,978471.0,836358.0,735,0,925655.0,0,10257157.0,29289,0,10257157.0,29289
2021-03-07,OK,4534.0,0,24332.0,24332.0,346.0,55,100.0,3146300.0,0,428997.0,,461,0,412177.0,0,3575297.0,461,0,3548479.0,0
2021-03-07,OR,2296.0,3,8714.0,8714.0,158.0,0,32.0,,0,157079.0,,195,0,,0,3850973.0,0,0,3850973.0,0
2021-03-07,PA,24349.0,32,,,1587.0,0,314.0,3942124.0,6592,948643.0,814540.0,1658,0,861756.0,52432,10681716.0,52432,8073,,0
2021-03-07,PR,2062.0,3,,,134.0,0,21.0,305972.0,0,101632.0,93620.0,305,0,91987.0,0,407604.0,305,0,415664.0,0
2021-03-07,RI,2547.0,0,9020.0,9020.0,141.0,0,25.0,677570.0,1421,128781.0,,265,0,,13513,3123348.0,13513,1686,,0
2021-03-07,SC,8754.0,35,20725.0,20725.0,579.0,66,137.0,4657179.0,25856,525865.0,449977.0,1408,0,218863.0,0,5183044.0,27264,0,5107156.0,26282
2021-03-07,SD,1900.0,2,6705.0,6705.0,72.0,13,9.0,314540.0,524,113589.0,100690.0,211,0,109531.0,0,701924.0,1275,735,701924.0,1275
2021-03-07,TN,11543.0,0,18870.0,18870.0,851.0,0,218.0,,0,782206.0,653905.0,0,0,756793.0,0,6872745.0,0,0,6872745.0,0
2021-03-07,TX,44451.0,84,,,4721.0,0,1463.0,,0,2686818.0,2320857.0,2953,0,2502609.0,0,19907384.0,76040,0,19907384.0,76040
2021-03-07,UT,1976.0,1,14891.0,14891.0,212.0,24,73.0,1560293.0,3204,374850.0,,412,0,358958.0,0,2910121.0,6828,3460,2910121.0,6828
2021-03-07,VA,9596.0,77,24661.0,24661.0,1127.0,24,258.0,,0,585700.0,461172.0,1163,0,,19925,6038209.0,19925,0,,0
2021-03-07,VI,25.0,0,,,,0,,46167.0,0,2714.0,,0,0,2559.0,0,48881.0,0,0,,0
2021-03-07,VT,208.0,0,,,31.0,0,1.0,320060.0,643,16083.0,15635.0,119,0,13384.0,0,1124215.0,8748,759,1124215.0,8748
2021-03-07,WA,5041.0,0,19599.0,19599.0,431.0,43,98.0,,0,344532.0,325053.0,664,0,,24040,5393756.0,24040,0,,0
2021-03-07,WI,7106.0,4,26457.0,26457.0,249.0,25,66.0,2647864.0,3521,621654.0,566693.0,377,0,553203.0,19193,7080595.0,19193,3850,,0
2021-03-07,WV,2325.0,2,,,179.0,0,40.0,,0,133445.0,106629.0,155,0,125383.0,0,2236551.0,6449,0,2236551.0,6449
2021-03-07,WY,682.0,0,1391.0,1391.0,21.0,0,,182264.0,0,54764.0,46397.0,0,0,53550.0,0,649293.0,0,0,649293.0,0
2021-03-06,AK,305.0,0,1293.0,1293.0,33.0,0,,,0,56886.0,,0,0,,0,1731628.0,0,0,1731628.0,0
2021-03-06,AL,10149.0,27,45976.0,45976.0,526.0,0,,1929624.0,4866,499411.0,391817.0,524,0,295690.0,0,2321441.0,5314,5314,,0
2021-03-06,AR,5297.0,14,14915.0,14915.0,345.0,12,148.0,2477449.0,4711,324653.0,255613.0,327,0,315181.0,0,2733062.0,4959,0,2733062.0,4959
2021-03-06,AS,0.0,0,,,,0,,2140.0,0,0.0,0.0,0,0,,0,2140.0,0,0,2140.0,0
2021-03-06,AZ,16323.0,54,57863.0,57863.0,966.0,44,280.0,3059332.0,8442,825119.0,768757.0,1735,0,,0,7862995.0,35425,9639,7862995.0,35425
2021-03-06,CA,53866.0,418,,,4513.0,0,1221.0,,0,3497578.0,3497578.0,4452,0,,0,49512828.0,218325,0,49512828.0,218325
2021-03-06,CO,5986.0,0,23886.0,23886.0,326.0,23,,2199458.0,5505,435762.0,410976.0,1108,0,,33600,6376960.0,33600,6427,,0
2021-03-06,CT,7704.0,0,,,428.0,0,,,0,285330.0,265709.0,0,0,,0,6520366.0,0,0,6520366.0,0
2021-03-06,DC,1030.0,3,,,150.0,0,40.0,,0,41273.0,,151,0,29470.0,8000,1255637.0,8000,1280,,0
2021-03-06,DE,1464.0,11,,,114.0,0,12.0,544153.0,1362,88139.0,83424.0,265,0,,8757,1426075.0,8757,1627,,0
2021-03-06,FL,32200.0,107,82145.0,82145.0,3352.0,243,,9319872.0,23282,1905185.0,1545643.0,4587,0,,87820,22274583.0,87820,27869,19430475.0,59303
2021-03-06,GA,17905.0,90,56762.0,56762.0,2071.0,135,,,0,1021778.0,827397.0,2269,0,,0,7340242.0,24765,0,7340242.0,24765
2021-03-06,GU,133.0,0,,,2.0,0,1.0,112887.0,0,7749.0,7540.0,1,0,7590.0,0,120636.0,1,0,120426.0,0
2021-03-06,HI,444.0,1,2226.0,2226.0,27.0,1,5.0,,0,28646.0,27838.0,85,0,,5284,1141679.0,5284,0,,0
2021-03-06,IA,5552.0,3,,,170.0,0,38.0,1043119.0,1515,282127.0,282127.0,362,0,319780.0,0,1325246.0,1877,1871,2749435.0,7094
2021-03-06,ID,1876.0,0,7179.0,7179.0,150.0,15,33.0,505429.0,504,172827.0,140013.0,240,0,95808.0,0,645442.0,646,646,1102848.0,2572
2021-03-06,IL,23002.0,56,,,1210.0,0,261.0,,0,1197267.0,,2565,0,,0,18572096.0,79248,0,18572096.0,79248
2021-03-06,IN,12726.0,29,43153.0,43153.0,663.0,49,118.0,2478513.0,5155,666516.0,,1231,0,,0,8212940.0,41718,6386,8212940.0,41718
2021-03-06,KS,4812.0,0,9387.0,9387.0,235.0,0,50.0,974686.0,0,295861.0,,0,0,,0,1270547.0,0,0,2525259.0,0
2021-03-06,KY,4806.0,52,19451.0,19451.0,591.0,71,171.0,,0,410184.0,313998.0,839,0,48131.0,0,3975672.0,5773,0,3975672.0,5773
2021-03-06,LA,9716.0,0,,,538.0,0,,5241101.0,0,433045.0,371994.0,0,0,415954.0,0,5674146.0,0,0,5613095.0,0
2021-03-06,MA,16374.0,52,19713.0,19713.0,687.0,0,176.0,4396764.0,7826,589931.0,557802.0,1722,0,508745.0,0,16728973.0,100359,9321,16728973.0,100359
2021-03-06,MD,7941.0,11,35572.0,35572.0,830.0,194,230.0,3032496.0,7547,386610.0,386610.0,932,0,9703.0,0,8064462.0,40384,8479,8064462.0,40384
2021-03-06,ME,704.0,0,1566.0,1566.0,74.0,6,20.0,,0,45635.0,35759.0,183,0,12838.0,0,1652690.0,8103,0,1652690.0,8103
2021-03-06,MI,16658.0,57,,,866.0,0,222.0,,0,656072.0,596054.0,1692,0,549881.0,0,10621967.0,37232,0,10621967.0,37232
2021-03-06,MN,6546.0,12,25976.0,25976.0,224.0,38,57.0,3050296.0,6988,489116.0,464767.0,946,0,475170.0,28026,7086059.0,28026,7786,,0
2021-03-06,MO,8161.0,3,,,1001.0,0,198.0,1875633.0,3308,480352.0,480352.0,386,0,,0,4555207.0,14140,3694,4555207.0,14140
2021-03-06,MP,2.0,0,4.0,4.0,,0,,17429.0,0,144.0,144.0,0,0,29.0,0,17573.0,0,0,26131.0,0
2021-03-06,MS,6805.0,22,9162.0,9162.0,419.0,0,89.0,1459374.0,0,297321.0,184157.0,576,0,278162.0,0,1756695.0,576,0,1642348.0,0
2021-03-06,MT,1381.0,2,4629.0,4629.0,63.0,19,12.0,,0,100842.0,95336.0,186,0,97801.0,0,1101356.0,4443,0,1101356.0,4443
2021-03-06,NC,11502.0,56,,,1179.0,0,309.0,,0,872176.0,759617.0,2027,0,,0,9688838.0,38654,0,9688838.0,38654
2021-03-06,ND,1478.0,0,3878.0,3878.0,21.0,3,3.0,306021.0,111,100357.0,94906.0,79,0,98240.0,1930,1424467.0,1930,190,1535606.0,2599
2021-03-06,NE,2113.0,1,6229.0,6229.0,136.0,3,,770586.0,1354,202653.0,,343,0,156825.0,0,2421683.0,10138,1701,2421683.0,10138
2021-03-06,NH,1181.0,3,1127.0,1127.0,90.0,1,,579186.0,1496,76695.0,53939.0,273,0,73327.0,0,1481488.0,0,1680,1481488.0,0
2021-03-06,NJ,23557.0,36,64338.0,64338.0,1862.0,-916,382.0,10186941.0,0,810090.0,718873.0,3720,0,,0,10997031.0,3720,0,10902830.0,0
2021-03-06,NM,3796.0,9,13242.0,13242.0,148.0,13,,,0,186742.0,,282,0,155000.0,0,2771840.0,13846,0,2771840.0,13846
2021-03-06,NV,5036.0,16,,,399.0,0,87.0,1129929.0,2551,295460.0,295960.0,0,0,,9659,2763991.0,9659,3051,,0
2021-03-06,NY,38970.0,79,,,4954.0,0,1012.0,,0,1674380.0,,7647,0,,273132,39467332.0,273132,0,,0
2021-03-06,OH,17656.0,0,50848.0,50848.0,922.0,66,273.0,,0,977736.0,835856.0,1506,0,923986.0,0,10227868.0,40190,0,10227868.0,40190
2021-03-06,OK,4534.0,0,24277.0,24277.0,346.0,120,100.0,3146300.0,11240,428536.0,,978,0,411624.0,0,3574836.0,12218,0,3548479.0,11750
2021-03-06,OR,2293.0,9,8714.0,8714.0,158.0,15,32.0,,0,156884.0,,211,0,,0,3850973.0,52906,0,3850973.0,52906
2021-03-06,PA,24317.0,55,,,1513.0,0,314.0,3935532.0,9494,946985.0,813059.0,2789,0,859218.0,0,10629284.0,0,11534,,0
2021-03-06,PR,2059.0,3,,,147.0,0,24.0,305972.0,0,101327.0,93336.0,261,0,91987.0,0,407299.0,261,0,415664.0,0
2021-03-06,RI,2547.0,6,9020.0,9020.0,141.0,0,25.0,676149.0,1634,128516.0,,395,0,,21854,3109835.0,21854,2029,,0
2021-03-06,SC,8719.0,20,20659.0,20659.0,623.0,54,157.0,4631323.0,27774,524457.0,449151.0,1199,0,218863.0,0,5155780.0,28973,0,5080874.0,29050
2021-03-06,SD,1898.0,2,6692.0,6692.0,74.0,11,10.0,314016.0,756,113378.0,100533.0,149,0,109371.0,0,700649.0,2193,905,700649.0,2193
2021-03-06,TN,11543.0,9,18870.0,18870.0,879.0,33,223.0,,0,782206.0,653905.0,1312,0,756793.0,0,6872745.0,16164,0,6872745.0,16164
2021-03-06,TX,44367.0,233,,,4921.0,0,1503.0,,0,2683865.0,2318522.0,5570,0,2491753.0,0,19831344.0,11292,0,19831344.0,11292
2021-03-06,UT,1975.0,5,14867.0,14867.0,216.0,26,77.0,1557089.0,3556,374438.0,,570,0,358249.0,0,2903293.0,8211,3904,2903293.0,8211
2021-03-06,VA,9519.0,91,24637.0,24637.0,1164.0,123,263.0,,0,584537.0,460273.0,1477,0,,21456,6018284.0,21456,0,,0
2021-03-06,VI,25.0,0,,,,0,,46167.0,0,2714.0,,0,0,2559.0,0,48881.0,0,0,,0
2021-03-06,VT,208.0,1,,,26.0,0,2.0,319417.0,697,15964.0,15519.0,145,0,13305.0,0,1115467.0,8171,840,1115467.0,8171
